BLKASHYAP,3402241
BLS,4423425
BLUEBLENDS,125953
BLUECOAST,1914881
BLUEDART,126721
BLUEDART-N3,1437953
BLUESTARCO,2127617
BODALCHEM,6404353
BOHRA-SM,5207041
BOMDYEING,131329
BOROSIL,806145
BOSCHLTD,558337
BPCL,134657
BPL,135681
BRFL-BE,3345665
BRIGADE,3887105
BRIGHT-SM,998657
BRITANNIA,140033
BRNL,5550849
BROOKS,6434817
BSE,5013761
BSELINFRA,2469633
BSHSL-SM,713473
BSL,143105
BSLGOLDETF,6093825
BSOFT,1790465
BURNPUR-BE,3890689
BUTTERFLY,695297
BVCL-BE,3859713
BYKE,2027265
CADILAHC,2029825
CADSYS-SM,5586689
CALSOFT,2135297
CAMLINFINE,1591297
CANBK,2763265
CANDC-BZ,2271745
CANFINHOME,149249
CANTABIL,5160961
CAPACITE,5567745
CAPLIPOINT,999937
CAPTRUST,4978433
CARBORUNIV,152321
CAREERP,5142017
CARERATING,7452929
CASTEXTECH-BE,3044097
CASTROLIND,320001
CCHHL-BE,1639169
CCL,2931713
CDSL,5420545
CEATLTD,3905025
CEBBCO,5177345
CELEBRITY,3369473
CELESTIAL,3784449
CENTENKA,158465
CENTEXT,2946817
CENTRALBK,3812865
CENTRUM,628225
CENTUM,3835393
CENTURYPLY,3406081
CENTURYTEX,160001
CERA,3849985
CEREBRAINT,7683073
CESC,160769
CESCVENT,2078465
CGCL,5204225
CGPOWER,194561
CHALET,2187777
CHAMBLFERT,163073
CHEMFAB,716545
CHENNPETRO,524545
CHENNPETRO,524545
CHOLAFIN,175361
CHOLAHLDNG,5565441
CHROMATIC,6937857
CIGNITITEC,1316353
CIMMCO,6447105
CINELINE,6953217
CINEVISTA-BE,2055169
CIPLA,177665
CKFSL,2444033
CKPLEISURE-SM,406273
CKPPRODUCT-SM,5300481
CLEDUCATE,5177089
CLNINDIA,183041
CMICABLES,4898049
CMMIPL-SM,24577
CNOVAPETRO,8151809
COALINDIA,5215745
COCHINSHIP,5506049
COFFEEDAY,2858241
COLPAL,3876097
COMPINFO,4513793
COMPUSOFT,7971329
CONCOR,1215745
CONFIPET,2620929
CONSOFINVT,3003137
CONTI-SM,647937
CONTROLPR,4474113
CORALFINAC,1025793
CORDSCABLE,3909377
COROMANDEL,189185
CORPBANK,1319425
COSMOFILMS,189953
COUNCODOS-BE,4349185
COX&KINGS,4558337
CPSEETF,595969
CREATIVE-SM,5237761
CREATIVEYE,2402305
CREDITACC,1131777
CREST,3558401
CRISIL,193793
CRMFGETF,8004353
CROMPTON,4376065
CROWN-SM,4760577
CTE,3639809
CUB,1459457
CUBEXTUB,1040385
CUMMINSIND,486657
CUPID,4741121
CURATECH-BE,2081537
CYBERMEDIA,3031553
CYBERTECH,1549057
CYIENT,1471489
DAAWAT,3536897
DABUR,197633
DALBHARAT,2067201
DALMIASUG,199937
DAMODARIND,4490497
DANGEE-SM,1167105
DATAMATICS,2924289
DBCORP,4577537
DBL,4630017
DBREALTY,4639745
DBSTOCKBRO,7963393
DCAL,5556225
DCBBANK,3513601
DCM-BE,1874689
DCMFINSERV,1222401
DCMSHRIRAM,207617
DCW,209153
DECCANCE,3798529
DEEPAKFERT,211713
DEEPAKNTR,5105409
DEEPIND,4670465
DELTACORP,3851265
DELTAMAGNT,310785
DEN,4536833
DENORA,1095425
DEVIT-SM,5246465
DFMFOODS,4933377
DHAMPURSUG,219393
DHANBANK,2907905
DHANUKA,6248705
DHARSUGAR,221697
DHFL,215553
DHFL-N1,4677633
DHFL-N2,4678145
DHFL-N3,4678657
DHFL-N4,4681217
DHFL-N5,4681729
DHFL-N6,4682241
DHFL-N7,4683265
DHFL-N8,4683777
DHFL-N9,4684289
DHFL-NA,4684801
DHFL-NB,4685313
DHFL-NC,4685825
DHFL-ND,4686337
DHFL-NE,4686849
DHFL-NF,4687361
DHFL-NG,4687873
DHFL-NH,4688385
DHFL-NI,4688897
DHFL-NJ,4689409
DHFL-NK,4732161
DHFL-NL,4732673
DHFL-NM,4733185
DHFL-NN,4733697
DHFL-NO,4734209
DHFL-NP,4734721
DHFL-NQ,855809
DHFL-NR,856833
DHFL-NS,858369
DHFL-NT,859905
DHFL-NU,861441
DHFL-NV,861953
DHFL-NW,862465
DHFL-NX,862977
DHFL-NY,864513
DHFL-NZ,866049
DHFL-Y1,868609
DHFL-Y2,872961
DHUNINV,5691649
DIAMONDYD,5591041
DIAPOWER-BZ,1221633
DICIND,179969
DIGJAMLTD-BE,4536321
DISHTV,3721473
DIVISLAB,2800641
DIXON,5552641
DLF,3771393
DLINKINDIA,4569857
DMART,5097729
DNAMEDIA,164097
DOLLAR,5263361
DOLPHINOFF,3501569
DONEAR,3542785
DPABHUSHAN-SM,59137
DPSCLTD,3947265
DPWIRES-SM,5594625
DQE,6210305
DREDGECORP,2885377
DRL-SM,4804865
DRREDDY,225537
DRSDILIP-SM,1711617
DSML-SM,843265
DSSL,6576641
DTIL,1594113
DUCON,7411713
DVL,3894785
DWARKESH,2986753
DYNAMATECH,1158401
DYNPRO,5456385
E2E-SM,765441
EASTSILK-BE,2500865
EASUNREYRL,1249793
EBANK,2976001
ECLERX,3885825
ECLFINANCE-N5,1029633
ECLFINANCE-N6,1030401
ECLFINANCE-N7,1030913
ECLFINANCE-NB,1816321
ECLFINANCE-NC,1817857
ECLFINANCE-ND,1818881
